asset_id,display_name,codes_and_names,inn,sponsor,sponsor_hq_city,sponsor_confidence,verification_tier,target,mechanism,modality,ot_mechanism_of_action,ot_drug_type,chembl_ids,indications_researched,conditions_in_trials,highest_phase,highest_phase_researched,highest_phase_in_ctgov,development_status,ex_china_rights,partner,latest_data,first_in_class_note,n_trials_ctgov,n_trials_recruiting_or_active,trial_statuses,earliest_nct,latest_nct,nct_ids,sources,notes
AP306,AP306,AP306,,,,low,prior_knowledge,unknown (phosphate binder for hyperphosphatemia),"unknown, likely a novel non-calcium, non-iron phosphate binder",unknown,,,,hyperphosphatemia (hemodialysis),hyperphosphatemia,phase 2,phase 2,phase 2,active,unknown,,,,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT06712654,NCT06712654,NCT06712654,,Not confidently identified; 'AP' prefix ambiguous among several small Chinese biotechs.
AP402,AP402,AP402,,,,low,prior_knowledge,HER2,unknown (HER2-positive solid tumors),unknown,,,,solid tumor (HER2-positive),solid tumor,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT06669975,NCT06669975,NCT06669975,,'AP' prefix candidates include Alebund Pharmaceuticals (known mainly for the GLP-1 peptide ecnoglutide) and other small Chinese biotechs; not confidently matched to a specific company for this HER2 program.
AP505,AP505,AP505,,,,low,prior_knowledge,PD-L1 x VEGF,bispecific antibody targeting PD-L1 and VEGF,bispecific/multispecific antibody,,,,advanced solid tumors,solid tumor,phase 1,phase 1,phase 1,active,unknown,,,"PD-L1/VEGF bispecific mechanism class is a hot area in Chinese biotech (cf. Akeso's PD-1xVEGF ivonescimab, Summit-partnered), though AP505's specific company is not confidently identified.",1,1,"{""ACTIVE_NOT_RECRUITING"": 1}",NCT06723964,NCT06723964,NCT06723964,,Title confirms PD-L1 x VEGF bispecific mechanism; sponsor company identity (Alebund vs. Anpu vs. other) not confidently resolved.
BC008,BC008,BC008|BC008-1A,,,,low,prior_knowledge,,,unknown,,,,glioma | esophageal cancer | non-small cell lung cancer,glioma | esophageal cancer | non-small cell lung cancer,phase 1,phase 1,phase 1,active,unknown,,,,2,2,"{""RECRUITING"": 2}",NCT06773481,NCT06773507,NCT06773481|NCT06773507,,"Seed sponsor 'BioCity Biopharma' not confidently recognized from training data; not recognized well enough to assert specifics - needs live verification. Trial pattern (China-only early-phase across CNS/GI/lung tumors) is consistent with a Chinese biotech sponsor, hence CN at low confidence."
BL-001,BL-001,BL-001,,,,low,prior_knowledge,,,small molecule,,,,,,phase 1,unknown,phase 1,unclear,,,,,1,0,"{""COMPLETED"": 1}",NCT05818306,NCT05818306,NCT05818306,,"Seed guesses Baili-Bio/SystImmune, known for the ADC BL-B01D1 (EGFRxHER3), but this trial is an oral capsule multiple-ascending-dose study in healthy volunteers, which is inconsistent with an IV-dosed ADC. Likely a different, unrecognized small-molecule asset also using a 'BL' code prefix. Not recognized with confidence; needs live verification."
GC001,GC001,GC001,,,,low,prior_knowledge,,oncolytic vaccinia virus,oncolytic virus,,,,solid tumors | glioma,solid tumors | glioma,phase 1,phase 1,phase 1,active,unknown,,,,2,2,"{""RECRUITING"": 2}",NCT06508307,NCT06660056,NCT06508307|NCT06660056,,"Seed lists Gracell Biotechnologies (acquired by AstraZeneca in 2024), but Gracell's known pipeline is CAR-T cell therapy (GC012F, GC007g), not oncolytic virus - likely a mismatch or code collision with a different 'GC'-prefixed sponsor. Not recognized with confidence from training data; sponsor left blank. CN assessed at low confidence from trial pattern/seed; needs live verification. Note: even if the Gracell attribution were correct, Gracell was Chinese-founded with China-based R&D, which would still qualify as CN under the Chinese-founded criterion despite the AstraZeneca acquisition."
GC301,GC301,GC301,,,,low,prior_knowledge,,,gene therapy,,,,Pompe disease (infantile-onset),Pompe disease,phase 1,phase 1,not stated,unclear,unknown,,,,1,0,"{""UNKNOWN"": 1}",NCT05567627,NCT05567627,NCT05567627,,"Seed guess 'Gracell Biotechnologies' looks inconsistent with Gracell's known focus (CAR-T cell therapy, codes like GC012F/GC007g), not AAV gene therapy. Likely a different Chinese gene-therapy company (e.g. Genecradle Therapeutics or similar) using a 'GC' code; not confidently identified. Country CN based on code convention and trial pattern, not specific recall. Flagging possible name collision."
HTMC0435,HTMC0435,HTMC0435,,,,low,prior_knowledge,,,unknown,,,,small cell lung cancer,small cell lung cancer,phase 1/2,phase 1/2,phase 1/2,unclear,unknown,,,,1,0,"{""UNKNOWN"": 1}",NCT05728619,NCT05728619,NCT05728619,,"Seed guess 'HUTCHMED' is uncertain: HUTCHMED's known internal code prefix is 'HMPL-' (e.g. HMPL-523, savolitinib as AZD6094/HMPL-504), not 'HTMC', so this may be a different, unidentified sponsor. Keeping country as CN as a weak guess given the code style and trial pattern, but flagging low confidence and possible seed mismatch."
SG1827,SG1827,SG1827,,,,low,prior_knowledge,,,unknown,,,,advanced solid tumors,solid tumor,phase 1,phase 1,phase 1,unclear,unknown,,,,1,1,"{""ACTIVE_NOT_RECRUITING"": 1}",NCT06076291,NCT06076291,NCT06076291,,Not confidently recognized from training data; seed guess (Sumgen/Shanghai Sun-Sail) not verified. Naming convention and single-region phase 1 solid-tumor trial are consistent with a Chinese biotech but sponsor identity needs live verification.
SG1906,SG1906,SG1906,,,,low,prior_knowledge,CLDN18.2,,unknown,,,,"CLDN18.2-positive solid tumors (gastroesophageal junction, pancreatic, gastric cancer)",solid tumor | gastroesophageal junction cancer | pancreatic cancer | gastric cancer,phase 1,unknown,phase 1,unclear,,,,,1,1,"{""RECRUITING"": 1}",NCT05857332,NCT05857332,NCT05857332,,"Not recognized with confidence from training data; seed guess 'Sumgen/Shanghai Sun-Sail' unverified. Country inferred as CN only from the China-typical trial pattern (CLDN18.2 solid tumor Phase Ia/Ib), not from a recognized sponsor. Needs live verification."
